record,infected,tested,recovered,deceased,country,moreData,historyData,sourceUrl,lastUpdatedApify,lastUpdatedSource
,241406,NA,161679,6516,Algeria,https://api.apify.com/v2/key-value-stores/pp4Wo2slUJ78ZnaAi/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/hi0DJXpcyzDwtg2Fm/items?format=json&clean=1,https://www.worldometers.info/coronavirus/,2022-01-26T11:00:00.000Z,
,1659510,137566059,1371187,13545,Austria,https://api.apify.com/v2/key-value-stores/RJtyHLXtCepb4aYxB/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/EFWZ2Q5JAtC6QDSwV/items?format=json&clean=1,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,2022-01-26T11:00:00.000Z,
,636956,6081949,617791,8632,Azerbaijan,https://api.apify.com/v2/key-value-stores/ThmCW2NVnrLa0tVp5/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/JtJHjnBtnIeKYpFi0/items?format=json&clean=1,https://koronavirusinfo.az/az/page/statistika/azerbaycanda-cari-veziyyet,2022-01-26T11:00:22.000Z,N/A
,338524,8609384,308318,1399,Bahrain,https://api.apify.com/v2/key-value-stores/c7Bc6QnnwaPLOMv3J/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/eHhCNFErvfnC42mEc/items?format=json&clean=1,https://www.moh.gov.bh/COVID19,2022-01-26T12:00:00.000Z,
,1414463,22225317,NA,26131,Belgium,https://api.apify.com/v2/key-value-stores/apVM8aZ8hKZFvnKm7/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/DD9jrAixr0QMvQIE3/items?format=json&clean=1,https://epistat.wiv-isp.be/Covid,2021-11-08T12:00:00.000Z,2021-11-06T11:50:00.000Z
,24311317,NA,NA,623843,Brazil,https://api.apify.com/v2/key-value-stores/TyToNta7jGKkpszMZ/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/3S2T1ZBxB9zhRJTBB/items?format=json&clean=1,https://covid.saude.gov.br/,2022-01-26T11:00:32.608Z,2022-01-25T21:45:29.040Z
,903676,NA,0,32869,Bulgaria,https://api.apify.com/v2/key-value-stores/np4eYah8M5uQtj0Su/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/OicoAbu38M2cGAcDl/items?format=json&clean=1,https://coronavirus.bg/bg/,2022-01-26T12:00:00.000Z,
,2947179,NA,NA,32786,Canada,https://api.apify.com/v2/key-value-stores/fabbocwKrtxSDf96h/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/ji95MgtBVgGJF7XcP/items?format=json&clean=1,,2022-01-26T11:00:15.000Z,
,105749,160000000,98626,4636,China,https://api.apify.com/v2/key-value-stores/x4iHxk7TVGI7UxFv6/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/LQHrXhGe0EhnCFeei/items?format=json&clean=1,https://www.worldometers.info/coronavirus/,2022-01-26T11:00:00.000Z,
,2833961,49336401,2545409,37092,Czech Republic,https://api.apify.com/v2/key-value-stores/K373S4uCFR9W1K8ei/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/XQWw0I5IUaUPQdc9k/items?format=json&clean=1,,2022-01-26T11:00:00.000Z,2022-01-26T03:40:00.000Z
,458001,,,282016,Denmark,https://api.apify.com/v2/key-value-stores/EAlpwScH29Qa5m60g/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/Ugq8cNqnhUSjfJeHr/items?format=json&clean=1,https://www.sst.dk/en/english/corona-eng/status-of-the-epidemic/covid-19-updates-statistics-and-charts,2021-11-23T13:00:00.000Z,2021-11-23T00:00:00.000Z
